Id,Brand,Model,Year,Grade SAE (all-season),Oil Type,Recommended Brand
LB-118,Toyota,Prius 1st gen,2000,"10W-30,10W-40,15W-30,15W-40","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Mannol"
LB-119,Toyota,Prius 1st gen,2001,"10W-40,15W-30,15W-40","semisynthetics, mineral","Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-120,Toyota,Prius 1st gen,2002,"10W-40,15W-30,15W-40","semisynthetics, mineral","Pentosin, Lucas Oil, Valvoline, Select, Kixx, Exxon, Royal Purple, Mannol, Chevron"
LB-121,Toyota,Prius 1st gen,2003,"10W-30,10W-40,15W-30,15W-40","semisynthetics, mineral","Mobil, Royal Purple, Select, Mannol, Chevron"
LB-122,Toyota,Prius 2nd gen,2004,"10W-30,10W-40,15W-30,15W-40","semisynthetics, mineral","Mobil, Select, Mannol, Chevron"
LB-123,Toyota,Prius 2nd gen,2005,"10W-40,5W-40","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-124,Toyota,Prius 2nd gen,2006,"15W-40,10W-40,5W-40","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-125,Toyota,Prius 2nd gen,2007,"10W-40,5W-40",semisynthetics,"Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-126,Toyota,Prius 2nd gen,2008,10W-40,semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-127,Toyota,Prius 2nd gen,2009,"10W-40,15W-40",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-128,Toyota,Prius 3rd gen,2010,"10W-40,15W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-129,Toyota,Prius 3rd gen,2011,"10W-40,15W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-130,Toyota,Prius 3rd gen,2012,15W-40,semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-131,Toyota,Prius 3rd gen,2013,"10W-40,15W-40","synthetics, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-132,Toyota,Prius 3rd gen,2014,"10W-40,15W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-133,Toyota,Prius 3rd gen,2015,"10W-40,15W-40,10W-50","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-134,Toyota,Prius 4th gen,2017,"10W-50,15W-50",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-135,Toyota,Prius 4th gen,2018,"10W-50,15W-50",only synthetics,"SHELL, Castrol, Mobil"
LB-136,Toyota,Prius 4th gen,2019,10W-50,only synthetics,"SHELL, Castrol, Mobil"
LB-137,Toyota,Prius 4th gen,2020,"5W-50,10W-60",only synthetics,"SHELL, Castrol, Mobil"
LB-138,Honda,Accord(5th Gen),1993,"15W-40,10W-40,25W-30","mineral, hydrocracking","Motorex, Kixx, Exxon, Royal Purple, Mannol, Chevron"
LB-139,Honda,Accord(5th Gen),1994,"15W-40,10W-40,25W-31","mineral, hydrocracking","Mobil, Kixx, Exxon, Royal Purple, Mannol"
LB-140,Honda,Accord(5th Gen),1995,"15W-40,10W-40,25W-32","semisynthetics, mineral, hydrocracking","Motorex, Kixx, Exxon, Royal Purple, Ecopower"
LB-141,Honda,Accord(5th Gen),1996,"15W-40,10W-40,25W-33","semisynthetics, mineral, hydrocracking","Mobil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-142,Honda,Accord(5th Gen),1997,"15W-40,10W-40,25W-34","semisynthetics, mineral, hydrocracking","Kixx, Exxon, Royal Purple, Ecopower"
LB-143,Honda,Accord(5th Gen),1998,"15W-40,10W-40,25W-35","semisynthetics, mineral, hydrocracking","Mobil, Valvoline, Kixx, Exxon, Ecopower"
LB-144,Honda,Accord(6th Gen),1999,"15W-40,10W-40,25W-36","semisynthetics, mineral","Valvoline, Kixx, Exxon, Royal Purple, Ecopower"
LB-145,Honda,Accord(6th Gen),2000,"15W-40,10W-40,25W-37","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Mannol"
LB-146,Honda,Accord(6th Gen),2001,"15W-40,10W-40,25W-38","semisynthetics, mineral","Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-147,Honda,Accord(7th Gen),2002,"15W-40,10W-40,25W-39","semisynthetics, mineral","Pentosin, Lucas Oil, Valvoline, Select, Kixx, Exxon, Royal Purple, Mannol, Chevron"
LB-148,Honda,Accord(7th Gen),2003,"15W-40,10W-40,25W-40","semisynthetics, mineral","Mobil, Royal Purple, Select, Mannol, Chevron"
LB-149,Honda,Accord(7th Gen),2004,"15W-40,10W-40,25W-41","semisynthetics, mineral","Mobil, Select, Mannol, Chevron"
LB-150,Honda,Accord(7th Gen),2005,"15W-40,10W-40,25W-42","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-151,Honda,Accord(7th Gen),2006,"15W-40,10W-40,25W-43","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-152,Honda,Accord(7th Gen),2007,"15W-40,10W-40,25W-44",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-153,Honda,Accord(7th Gen),2008,"15W-40,10W-40,25W-45",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-154,Honda,Accord(8th Gen),2009,"15W-40,10W-40,25W-46",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-155,Honda,Accord(8th Gen),2010,"15W-40,10W-40,25W-47",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-156,Honda,Accord(8th Gen),2011,"15W-40,10W-40,25W-48",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-157,Honda,Accord(8th Gen),2012,"15W-40,10W-40,25W-49","synthetics, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-158,Honda,Accord(8th Gen),2013,"15W-40,10W-40,25W-50","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-159,Honda,Accord(8th Gen),2014,"15W-40,10W-40,25W-51","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-160,Honda,Accord(9th Gen),2015,"15W-40,10W-40,25W-52",semisynthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-161,Honda,Accord(9th Gen),2016,"15W-40,10W-40,25W-53",semisynthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-162,Honda,Accord(9th Gen),2017,"15W-40,10W-40,25W-54",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-163,Honda,Accord(9th Gen),2018,"15W-40,10W-40,25W-55",only synthetics,"SHELL, Castrol, Mobil"
LB-164,Honda,Accord(9th Gen),2019,"15W-40,10W-40,25W-56",only synthetics,"SHELL, Castrol, Mobil"
LB-165,Honda,Civic(4th Gen),1987,"10W-30,10W-30,25W-30","mineral, hydrocracking","Valucraft, Pentosin, Lucas Oil, Valvoline, Exxon, Royal Purple"
LB-166,Honda,Civic(4th Gen),1988,"10W-30,10W-30,25W-30","mineral, hydrocracking","Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple"
LB-167,Honda,Civic(4th Gen),1989,"10W-30,10W-30,25W-30","mineral, hydrocracking","Exxon, Royal Purple, Mannol, Chevron, Total, Kendall"
LB-168,Honda,Civic(4th Gen),1990,"15W-30,10W-30,25W-30","mineral, hydrocracking","Kixx, Exxon, Royal Purple, Mannol, Chevron, Total, Kendall"
LB-169,Honda,Civic(4th Gen),1991,"15W-40,10W-30,25W-30","mineral, hydrocracking","Mobil, Kixx, Exxon, Royal Purple, Mannol, Chevron, Total, Kendall"
LB-170,Honda,Civic(4th Gen),1992,"15W-40,5W-30,25W-30","mineral, hydrocracking","Motorex, Kixx, Exxon, Royal Purple, Mannol, Chevron,"
